Date,FIPS,County,State,Vaccination_Complete_Pct,candidate,party,total_votes,won,lat,long
09/30/2021,36051,Livingston County,NY,52.6,Donald Trump,REP,18182,True,42.7280629366333,-77.77549402183548
09/30/2021,36051,Livingston County,NY,52.6,Joe Biden,DEM,12477,False,42.7280629366333,-77.77549402183548
09/30/2021,26013,Baraga County,MI,50.8,Donald Trump,REP,2512,True,46.66262050098693,-88.3651856167333
09/30/2021,26013,Baraga County,MI,50.8,Joe Biden,DEM,1478,False,46.66262050098693,-88.3651856167333
09/30/2021,1113,Russell County,AL,31.9,Joe Biden,DEM,11228,True,32.28839324253349,-85.18492486749624
09/30/2021,1113,Russell County,AL,31.9,Donald Trump,REP,9864,False,32.28839324253349,-85.18492486749624
09/30/2021,30065,Musselshell County,MT,30.1,Donald Trump,REP,2423,True,46.49658446284418,-108.39810483962864
09/30/2021,30065,Musselshell County,MT,30.1,Joe Biden,DEM,413,False,46.49658446284418,-108.39810483962864
09/30/2021,38015,Burleigh County,ND,40.8,Donald Trump,REP,34744,True,46.9773799687845,-100.46873765573343
09/30/2021,38015,Burleigh County,ND,40.8,Joe Biden,DEM,14348,False,46.9773799687845,-100.46873765573343
09/30/2021,8055,Huerfano County,CO,47.6,Donald Trump,REP,2203,True,37.68467850964496,-104.96061132482524
09/30/2021,8055,Huerfano County,CO,47.6,Joe Biden,DEM,2076,False,37.68467850964496,-104.96061132482524
09/30/2021,46097,Miner County,SD,45.3,Donald Trump,REP,787,True,44.02195241363735,-97.61019616770017
09/30/2021,46097,Miner County,SD,45.3,Joe Biden,DEM,320,False,44.02195241363735,-97.61019616770017
09/30/2021,46125,Turner County,SD,35.5,Donald Trump,REP,3290,True,43.31089407750368,-97.14867176736249
09/30/2021,46125,Turner County,SD,35.5,Joe Biden,DEM,1139,False,43.31089407750368,-97.14867176736249
09/30/2021,12053,Hernando County,FL,47.5,Donald Trump,REP,70412,True,28.553631869514188,-82.4250382875201
09/30/2021,12053,Hernando County,FL,47.5,Joe Biden,DEM,37519,False,28.553631869514188,-82.4250382875201
09/30/2021,21189,Owsley County,KY,39.0,Donald Trump,REP,1671,True,37.419199638938686,-83.68309732468298
09/30/2021,21189,Owsley County,KY,39.0,Joe Biden,DEM,216,False,37.419199638938686,-83.68309732468298
09/30/2021,51193,Westmoreland County,VA,42.9,Donald Trump,REP,5318,True,38.11193560773864,-76.80417125728823
09/30/2021,51193,Westmoreland County,VA,42.9,Joe Biden,DEM,4501,False,38.11193560773864,-76.80417125728823
09/30/2021,46025,Clark County,SD,44.6,Donald Trump,REP,1373,True,44.85824066176757,-97.72950099021674
09/30/2021,46025,Clark County,SD,44.6,Joe Biden,DEM,437,False,44.85824066176757,-97.72950099021674
09/30/2021,6037,Los Angeles County,CA,59.6,Joe Biden,DEM,3028885,True,34.3207429592211,-118.22480998416322
09/30/2021,6037,Los Angeles County,CA,59.6,Donald Trump,REP,1145530,False,34.3207429592211,-118.22480998416322
09/30/2021,20045,Douglas County,KS,53.4,Joe Biden,DEM,39436,True,38.88466799093863,-95.29259106013194
09/30/2021,20045,Douglas County,KS,53.4,Donald Trump,REP,16737,False,38.88466799093863,-95.29259106013194
09/30/2021,51660,Harrisonburg city,VA,37.3,Joe Biden,DEM,11022,True,38.436205248273566,-78.87345309974245
09/30/2021,51660,Harrisonburg city,VA,37.3,Donald Trump,REP,5591,False,38.436205248273566,-78.87345309974245
09/30/2021,35023,Hidalgo County,NM,42.7,Donald Trump,REP,1120,True,31.914038052854487,-108.71477735549637
